product_id,product_code,product_name,category_id,velocity_class_id,avg_retail_price,weight_lbs,shelf_life_days,supplier_id
1,ELEC-1001,Toaster 4-Slice v1,1,1,199,39.38,NULL,14
2,ELEC-1002,Face Mask Sheet v1,1,1,499,7.13,NULL,8
3,ELEC-1003,Ice Melt Bag v1,1,1,299,8.86,NULL,5
4,ELEC-1004,Skateboard Pro v1,1,3,1299,45.73,NULL,12
5,ELEC-1005,Yo-Yo Classic v1,1,1,299,2.76,NULL,8
6,ELEC-1006,Tennis Racket v1,1,3,199,41.29,NULL,23
7,ELEC-1007,Ornament Pack v1,1,1,799,6.15,NULL,8
8,ELEC-1008,Board Game v1,1,3,299,40.94,NULL,28
9,ELEC-1009,Doll Fashion v2,1,1,1299,39.90,NULL,21
10,ELEC-1010,Lego Set Large v2,1,1,499,49.20,NULL,8
11,ELEC-1011,Smartphone X12 v2,1,2,1299,21.65,NULL,9
12,ELEC-1012,Pumpkin Decoration v2,1,1,799,35.26,NULL,25
13,ELEC-1013,Pillow Memory Foam v2,1,1,499,38.37,NULL,31
14,ELEC-1014,Valentine Chocolate v2,1,2,199,29.47,NULL,27
15,ELEC-1015,Mirror Wall v2,1,2,1299,35.21,NULL,32
16,ELEC-1016,Wireless Earbuds v2,1,3,1299,29.10,NULL,17
17,ELEC-1017,Mirror Wall v3,1,1,199,8.88,NULL,30
18,ELEC-1018,Keyboard Mechanical v3,1,3,799,8.47,NULL,19
19,ELEC-1019,Pumpkin Decoration v3,1,3,99,37.05,NULL,15
20,ELEC-1020,Costume Mask v3,1,1,199,5.06,NULL,34
21,ELEC-1021,Blender Smoothie v3,1,1,1299,40.68,NULL,13
22,ELEC-1022,Vitamins Multi v3,1,2,199,9.40,NULL,9
23,ELEC-1023,Deodorant Antiperspirant v3,1,2,1299,19.51,NULL,22
24,ELEC-1024,Smartphone X12 v3,1,1,199,23.77,NULL,13
25,ELEC-1025,Ornament Pack v4,1,1,1299,27.58,NULL,24
26,ELEC-1026,Vacuum Upright v4,1,1,99,12.88,NULL,23
27,ELEC-1027,Thanksgiving Centerpiece v4,1,1,199,20.43,NULL,26
28,ELEC-1028,Blender Smoothie v4,1,2,299,38.06,NULL,9
29,ELEC-1029,Building Blocks v4,1,2,1299,29.08,NULL,30
30,ELEC-1030,Vitamins Multi v4,1,3,299,26.92,NULL,15
31,ELEC-1031,Action Figure Set v4,1,1,99,29.89,NULL,5
32,ELEC-1032,Shorts Summer v4,1,1,1299,13.40,NULL,10
33,ELEC-1033,Baseball Glove v5,1,2,799,25.18,NULL,1
34,ELEC-1034,Snow Shovel v5,1,1,199,30.03,NULL,34
35,ELEC-1035,Milk Whole 1gal v5,1,2,199,10.51,NULL,3
36,ELEC-1036,Dress Casual v5,1,1,199,38.89,NULL,10
37,ELEC-1037,Video Game Controller v5,1,2,1299,17.56,NULL,22
38,ELEC-1038,Lamp Floor v5,1,1,199,32.15,NULL,17
39,ELEC-1039,Mouse Wireless v5,1,1,499,22.62,NULL,28
40,ELEC-1040,Dress Casual v5,1,3,99,10.82,NULL,7
41,ELEC-1041,Pumpkin Decoration v6,1,1,1299,42.07,NULL,34
42,ELEC-1042,Pumpkin Decoration v6,1,2,799,26.94,NULL,18
43,ELEC-1043,Winter Jacket v6,1,1,499,30.26,NULL,27
44,ELEC-1044,Vitamins Multi v6,1,1,499,36.12,NULL,11
