festival_id,festival_name,location_id,start_date,end_date,demand_lift_pct,supply_risk_score,festival_type
1,New Year,1,2023-01-01,2023-01-02,35.0,0.15,NATIONAL
2,New Year,2,2023-01-01,2023-01-02,35.0,0.15,NATIONAL
3,New Year,3,2023-01-01,2023-01-02,35.0,0.15,NATIONAL
4,Valentine's Day,1,2023-02-14,2023-02-14,25.0,0.10,NATIONAL
5,Valentine's Day,2,2023-02-14,2023-02-14,25.0,0.10,NATIONAL
6,Spring Festival,3,2023-03-15,2023-03-17,45.0,0.35,REGIONAL
7,Spring Festival,4,2023-03-15,2023-03-17,45.0,0.35,REGIONAL
8,Independence Day,1,2023-07-04,2023-07-04,40.0,0.20,NATIONAL
9,Independence Day,2,2023-07-04,2023-07-04,40.0,0.20,NATIONAL
10,Independence Day,3,2023-07-04,2023-07-04,40.0,0.20,NATIONAL
11,Independence Day,4,2023-07-04,2023-07-04,40.0,0.20,NATIONAL
12,Independence Day,5,2023-07-04,2023-07-04,40.0,0.20,NATIONAL
13,Back to School,1,2023-09-01,2023-09-15,30.0,0.12,SEASONAL
14,Back to School,2,2023-09-01,2023-09-15,30.0,0.12,SEASONAL
15,Back to School,3,2023-09-01,2023-09-15,30.0,0.12,SEASONAL
16,Thanksgiving,1,2023-11-23,2023-11-26,55.0,0.40,NATIONAL
17,Thanksgiving,2,2023-11-23,2023-11-26,55.0,0.40,NATIONAL
18,Thanksgiving,3,2023-11-23,2023-11-26,55.0,0.40,NATIONAL
19,Thanksgiving,4,2023-11-23,2023-11-26,55.0,0.40,NATIONAL
20,Black Friday,1,2023-11-24,2023-11-24,80.0,0.55,SHOPPING
21,Black Friday,2,2023-11-24,2023-11-24,80.0,0.55,SHOPPING
22,Black Friday,3,2023-11-24,2023-11-24,80.0,0.55,SHOPPING
23,Black Friday,4,2023-11-24,2023-11-24,80.0,0.55,SHOPPING
24,Black Friday,5,2023-11-24,2023-11-24,80.0,0.55,SHOPPING
25,Cyber Monday,1,2023-11-27,2023-11-27,70.0,0.45,SHOPPING
26,Cyber Monday,2,2023-11-27,2023-11-27,70.0,0.45,SHOPPING
27,Christmas,1,2023-12-25,2023-12-26,90.0,0.65,NATIONAL
28,Christmas,2,2023-12-25,2023-12-26,90.0,0.65,NATIONAL
29,Christmas,3,2023-12-25,2023-12-26,90.0,0.65,NATIONAL
30,Christmas,4,2023-12-25,2023-12-26,90.0,0.65,NATIONAL
31,Christmas,5,2023-12-25,2023-12-26,90.0,0.65,NATIONAL
32,Christmas,6,2023-12-25,2023-12-26,90.0,0.65,NATIONAL
33,New Year Eve,1,2023-12-31,2023-12-31,60.0,0.35,NATIONAL
34,New Year Eve,2,2023-12-31,2023-12-31,60.0,0.35,NATIONAL
35,Diwali,7,2023-11-12,2023-11-16,75.0,0.50,REGIONAL
36,Diwali,8,2023-11-12,2023-11-16,75.0,0.50,REGIONAL
37,Easter,1,2023-04-09,2023-04-09,30.0,0.18,NATIONAL
38,Easter,2,2023-04-09,2023-04-09,30.0,0.18,NATIONAL
39,Mother's Day,1,2023-05-14,2023-05-14,35.0,0.20,NATIONAL
40,Mother's Day,2,2023-05-14,2023-05-14,35.0,0.20,NATIONAL
41,Labor Day,1,2023-09-04,2023-09-04,25.0,0.15,NATIONAL
42,Labor Day,2,2023-09-04,2023-09-04,25.0,0.15,NATIONAL
43,Halloween,1,2023-10-31,2023-10-31,45.0,0.25,NATIONAL
44,Halloween,2,2023-10-31,2023-10-31,45.0,0.25,NATIONAL
45,Halloween,3,2023-10-31,2023-10-31,45.0,0.25,NATIONAL
