location_id,climate_zone,avg_temp_c,avg_rainfall_mm_annual,weather_sensitivity_score,logistics_complexity_score,regional_demand_index,population_index,income_index,urbanization_score,consumer_spending_index,distance_to_dc_km,regional_supply_risk_score,market_maturity_index
1,Mediterranean,14.5,508.0,0.35,0.25,1.15,0.95,1.10,0.92,1.08,65.0,0.18,0.88
2,Mediterranean,17.0,378.0,0.30,0.28,1.25,1.00,1.20,0.98,1.18,12.0,0.15,0.92
3,Mediterranean,16.2,440.0,0.32,0.26,1.10,0.85,1.05,0.88,1.05,140.0,0.20,0.84
4,Mediterranean,15.8,390.0,0.31,0.27,1.08,0.80,1.02,0.85,1.02,95.0,0.19,0.82
5,Mediterranean,13.8,445.0,0.33,0.26,1.05,0.82,1.08,0.87,1.06,55.0,0.17,0.83
6,Oceanic,10.5,960.0,0.52,0.38,1.05,0.88,1.12,0.90,1.08,85.0,0.28,0.85
7,Oceanic,9.8,890.0,0.50,0.36,0.95,0.75,0.98,0.82,0.96,155.0,0.30,0.78
8,Semi-Arid,15.0,420.0,0.28,0.32,0.98,0.72,0.88,0.78,0.92,320.0,0.22,0.75
9,Continental,18.5,870.0,0.45,0.35,1.12,0.92,1.05,0.90,1.05,55.0,0.25,0.87
10,Humid-Subtropical,21.2,1250.0,0.58,0.40,1.08,0.88,1.00,0.88,1.02,40.0,0.30,0.85
11,Continental,18.2,850.0,0.42,0.32,1.02,0.82,0.98,0.85,0.98,75.0,0.22,0.82
12,Humid-Subtropical,20.5,860.0,0.50,0.38,0.98,0.80,0.92,0.82,0.95,90.0,0.28,0.80
13,Continental,17.8,920.0,0.46,0.34,1.00,0.82,0.96,0.84,0.97,62.0,0.23,0.81
14,Continental,17.5,905.0,0.45,0.33,0.99,0.81,0.95,0.83,0.96,70.0,0.22,0.80
15,Continental,10.2,960.0,0.55,0.42,1.20,0.98,1.18,0.95,1.15,18.0,0.32,0.90
16,Continental,9.8,940.0,0.53,0.40,1.12,0.88,1.10,0.90,1.08,42.0,0.30,0.86
17,Continental,10.5,950.0,0.54,0.41,1.08,0.85,1.06,0.88,1.05,38.0,0.29,0.85
18,Continental,10.0,935.0,0.52,0.40,1.02,0.80,1.00,0.85,1.00,60.0,0.28,0.82
19,Continental,10.3,945.0,0.53,0.41,1.05,0.82,1.02,0.86,1.02,48.0,0.29,0.83
20,Humid-Continental,11.5,990.0,0.48,0.35,1.00,0.82,0.98,0.85,0.98,85.0,0.25,0.82
21,Humid-Continental,10.8,955.0,0.46,0.34,0.95,0.78,0.92,0.82,0.94,120.0,0.24,0.79
22,Humid-Continental,12.2,1010.0,0.50,0.36,0.98,0.80,0.95,0.84,0.96,95.0,0.26,0.80
23,Humid-Continental,10.5,965.0,0.46,0.33,0.88,0.72,0.85,0.78,0.88,145.0,0.23,0.76
24,Humid-Continental,11.2,985.0,0.47,0.34,0.90,0.74,0.88,0.80,0.90,135.0,0.24,0.77
25,Humid-Continental,8.5,850.0,0.48,0.38,1.05,0.86,1.00,0.87,1.02,95.0,0.28,0.83
26,Humid-Continental,9.2,880.0,0.46,0.35,0.98,0.80,0.96,0.84,0.97,130.0,0.26,0.80
27,Humid-Continental,8.8,860.0,0.47,0.36,0.92,0.76,0.90,0.82,0.92,165.0,0.27,0.78
28,Humid-Continental,9.0,870.0,0.46,0.35,0.88,0.73,0.87,0.80,0.89,150.0,0.26,0.77
29,Humid-Subtropical,24.5,1490.0,0.62,0.45,1.15,0.92,1.08,0.90,1.10,40.0,0.38,0.86
30,Humid-Subtropical,23.8,1340.0,0.58,0.42,1.10,0.88,1.04,0.88,1.06,85.0,0.35,0.84
31,Humid-Subtropical,23.2,1280.0,0.56,0.40,1.05,0.85,1.00,0.86,1.02,115.0,0.33,0.83
32,Humid-Subtropical,21.5,1380.0,0.52,0.38,0.98,0.80,0.94,0.82,0.96,165.0,0.30,0.80
33,Humid-Subtropical,24.2,1460.0,0.60,0.44,1.08,0.88,1.02,0.88,1.04,55.0,0.36,0.84
34,Humid-Subtropical,24.0,1440.0,0.59,0.43,1.05,0.86,1.00,0.87,1.02,65.0,0.35,0.83
35,Humid-Continental,13.5,1140.0,0.55,0.50,1.35,1.10,1.40,1.00,1.32,15.0,0.35,0.95
36,Humid-Continental,13.0,1120.0,0.52,0.48,1.20,0.95,1.22,0.95,1.18,25.0,0.32,0.90
37,Humid-Continental,10.5,1050.0,0.48,0.40,0.98,0.78,0.92,0.82,0.95,225.0,0.27,0.79
38,Humid-Continental,9.8,1020.0,0.46,0.38,0.92,0.75,0.88,0.80,0.90,330.0,0.26,0.77
39,Humid-Continental,10.2,1030.0,0.47,0.39,0.90,0.74,0.87,0.80,0.89,310.0,0.26,0.77
40,Humid-Subtropical,17.5,1270.0,0.52,0.38,1.10,0.88,1.05,0.88,1.06,55.0,0.30,0.85
41,Humid-Subtropical,18.0,1150.0,0.50,0.35,0.95,0.75,0.92,0.80,0.94,195.0,0.27,0.78
42,Humid-Subtropical,17.2,1100.0,0.48,0.34,0.90,0.72,0.88,0.78,0.90,240.0,0.26,0.76
43,Humid-Subtropical,16.8,1200.0,0.50,0.36,0.95,0.76,0.92,0.82,0.94,70.0,0.28,0.79
44,Humid-Subtropical,16.0,1100.0,0.48,0.35,1.05,0.85,1.00,0.86,1.02,20.0,0.27,0.83
45,Humid-Subtropical,15.5,1150.0,0.50,0.36,1.02,0.82,0.98,0.84,0.99,55.0,0.28,0.82
46,Humid-Subtropical,15.2,1120.0,0.48,0.35,0.98,0.80,0.95,0.82,0.96,90.0,0.27,0.80
47,Humid-Subtropical,14.5,1180.0,0.50,0.36,0.95,0.78,0.92,0.82,0.94,140.0,0.28,0.79
48,Humid-Continental,12.5,1050.0,0.52,0.42,1.12,0.90,1.08,0.90,1.08,10.0,0.30,0.87
49,Humid-Continental,11.5,1000.0,0.50,0.40,1.05,0.85,1.02,0.87,1.02,120.0,0.28,0.84
50,Humid-Continental,12.2,1040.0,0.51,0.41,1.08,0.88,1.05,0.88,1.05,25.0,0.29,0.85
54,Tropical-Wet,27.2,2167.0,0.65,0.55,1.2,0.98,0.85,0.95,0.88,15.0,0.42,0.82
55,Semi-Arid,25.5,617.0,0.55,0.48,1.18,0.96,0.9,0.94,0.92,180.0,0.38,0.8
56,Tropical-Savanna,24.0,970.0,0.5,0.42,1.15,0.92,0.95,0.92,0.95,220.0,0.35,0.78
57,Tropical-Wet,28.5,1400.0,0.62,0.52,1.1,0.88,0.82,0.9,0.85,280.0,0.4,0.76
